Cycle,SequenceName,Accuracy,ActivatePredictedColumnCalls,ActivatePredictedColumnNewSynapseCount,BurstColumnWithMatchingSegmentsCalls ,BurstColumnWithMatchingSegmentsNewSynapseCount,BurstColumnWithoutMatchingSegmentsCalls,BurstColumnWithoutMatchingSegmentsNewSynapseCount
210,S1,0,0,0,0,0,60,1200
211,S1,0,0,0,0,0,0,0
212,S1,0,0,0,0,0,0,0
213,S1,0,0,0,0,0,0,0
214,S1,0,0,0,0,0,0,0
215,S1,0,0,0,0,0,0,0
216,S1,0,0,0,0,0,0,0
217,S1,0,0,0,0,0,0,0
218,S1,0,0,0,0,0,0,0
219,S1,0,0,0,0,0,0,0
220,S1,0,0,0,0,0,0,0
221,S1,0,0,0,0,0,0,0
222,S1,0,0,0,0,0,0,0
223,S1,0,0,0,0,0,0,0
224,S1,0,0,0,0,0,0,0
225,S1,0,0,0,0,0,0,0
226,S1,0,0,0,0,0,0,0
227,S1,0,0,0,0,0,0,0
228,S1,0,0,0,0,0,0,0
229,S1,0,0,0,0,0,0,0
230,S1,0,0,0,0,0,0,0
231,S1,0,0,0,0,0,0,0
232,S1,0,0,0,0,0,0,0
233,S1,0,0,0,0,0,0,0
234,S1,0,0,0,0,0,0,0
235,S1,0,0,0,0,0,0,0
236,S1,0,0,0,0,0,0,0
237,S1,0,0,0,0,0,0,0
238,S1,0,0,0,0,0,0,0
239,S1,0,0,0,0,0,0,0
240,S1,0,0,0,0,0,0,0
241,S1,0,0,0,0,0,0,0
242,S1,0,0,0,0,0,0,0
243,S2,0,0,0,0,0,38,760
244,S2,0,0,0,0,0,0,0
245,S2,0,0,0,0,0,0,0
246,S2,0,0,0,0,0,25,500
247,S2,0,0,0,0,0,0,0
248,S2,0,0,0,0,0,0,0
249,S2,0,20,100,0,0,20,400
250,S2,0,0,0,0,0,0,0
251,S2,0,0,0,0,0,0,0
252,S2,0,0,0,0,0,20,400
253,S2,0,0,0,0,0,0,0
254,S2,0,0,0,0,0,0,0
255,S2,0,0,0,0,0,0,0
256,S2,0,0,0,0,0,0,0
257,S2,0,0,0,0,0,0,0
258,S2,0,0,0,0,0,0,0
259,S2,0,0,0,0,0,0,0
260,S2,0,0,0,0,0,0,0
261,S2,0,0,0,0,0,0,0
262,S2,0,0,0,0,0,0,0
263,S2,0,0,0,0,0,0,0
264,S2,0,0,0,0,0,0,0
265,S2,0,0,0,0,0,0,0
266,S2,0,0,0,0,0,0,0
267,S2,0,0,0,0,0,0,0
268,S2,0,0,0,0,0,0,0
269,S2,0,0,0,0,0,0,0
270,S2,0,0,0,0,0,0,0
271,S2,0,0,0,0,0,0,0
272,S2,0,0,0,0,0,0,0
273,S2,0,0,0,0,0,0,0
274,S2,0,0,0,0,0,0,0
275,S2,0,0,0,0,0,0,0
276,S2,0,0,0,0,0,0,0
277,S2,0,0,0,0,0,0,0
278,S2,0,0,0,0,0,0,0
279,S2,0,0,0,0,0,0,0
280,S2,0,0,0,0,0,0,0
281,S2,0,0,0,0,0,0,0
282,S2,0,0,0,0,0,0,0
283,S2,0,0,0,0,0,0,0
284,S2,0,0,0,0,0,0,0
285,S3,0,0,0,0,0,20,400
286,S3,0,0,0,0,0,0,0
287,S3,0,0,0,0,0,0,0
288,S3,0,0,0,20,211,7,140
289,S3,0,0,0,20,66,0,0
290,S3,0,0,0,20,66,0,0
291,S3,0,0,0,20,147,0,0
292,S3,0,0,0,0,0,0,0
293,S3,0,0,0,0,0,0,0
294,S3,0,0,0,16,154,4,80
295,S3,0,0,0,7,7,0,0
296,S3,0,0,0,7,7,0,0
297,S3,0,0,0,0,0,0,0
298,S3,0,0,0,0,0,0,0
299,S3,0,0,0,0,0,0,0
300,S3,0,0,0,0,0,0,0
301,S3,0,0,0,0,0,0,0
302,S3,0,0,0,0,0,0,0
303,S3,0,0,0,0,0,0,0
304,S3,0,0,0,0,0,0,0
305,S3,0,0,0,0,0,0,0
306,S3,0,0,0,0,0,0,0
307,S3,0,0,0,0,0,0,0
308,S3,0,0,0,0,0,0,0
309,S3,0,0,0,0,0,0,0
310,S3,0,0,0,0,0,0,0
311,S3,0,0,0,0,0,0,0
312,S3,0,0,0,0,0,0,0
313,S3,0,0,0,0,0,0,0
314,S3,0,0,0,0,0,0,0
315,S3,0,0,0,0,0,0,0
316,S3,0,0,0,0,0,0,0
317,S3,0,0,0,0,0,0,0
318,S3,0,0,0,0,0,0,0
319,S3,0,0,0,0,0,0,0
320,S3,0,0,0,0,0,0,0
321,S3,0,0,0,0,0,0,0
322,S3,0,0,0,0,0,0,0
323,S3,0,0,0,0,0,0,0
324,S3,0,0,0,0,0,0,0
325,S3,0,0,0,0,0,0,0
326,S3,0,0,0,0,0,0,0
